Proyecto,Situacion,TipoProyecto,InversionTotal,TotalIngresosVenta,Beneficios,UnidadesTotales,TIRDespuesIS,ROEDespuesIS,Multiplo,ProjectIRR,BCR,Ubicacion,Equity,HoldingPeriod,SuperficieEdificable,FechaInicio,EndQuarter,EsUltimaFila
BA49,Culminado,Promoción,9533509,10079498,2413514,18,0.168,0.45,1.45,0.263,0.25316113930348205,Barquillo 49,5367722,50,1798,2014-10-01 00:00:00,2018-12-01 00:00:00,1
TO123,Culminado,Promoción,5089316,6461312,1429421,22,0.216,0.358,1.36,0.296,0.2808670163141766,Toledo 123,3153195,44,1462,2014-11-01 00:00:00,2018-07-01 00:00:00,1
CA82,Culminado,Promoción,,1912000,,0,,,,,#DIV/0!,Castello 82,,24,410,2015-07-01 00:00:00,2017-07-01 00:00:00,1
GV61,Culminado,Promoción,,2516000,,0,,,,,#DIV/0!,Gran Via 61,,30,431.29999999999995,2014-12-30 00:00:00,2017-07-01 00:00:00,1
CR20,Culminado,Promoción,3940905,5432225,1499779,7,0.158,0.623,1.62,0.172,0.38056715399127866,Cruz 20,2407505,49,803,2016-01-02 00:00:00,2020-03-01 00:00:00,1
FR02,Culminado,Promoción,22646555,26296684,4024447.57,20,0.101,0.426,1.47,0.068,0.17770683311435226,Francisco de Rojas 02,8500000,56,4374,2017-01-02 00:00:00,2021-10-01 00:00:00,1
FU149,Culminado,Promoción,,1600000,,0,,,,,#DIV/0!,Fuencarral 149,,10,178,2017-01-02 00:00:00,2017-12-01 00:00:00,1
DRC26,Culminado,Promoción,25832554,30359899,4902907,15,0.158,0.656,1.66,0.075,0.18979567409401332,Don Ramon de la Cruz 26,7962925,59,3114,2016-07-01 00:00:00,2021-06-01 00:00:00,1
NB86,Culminado,Promoción,32013681,39478446,6506771,11,0.128,0.723,1.72,0.073,0.20324969815248675,Nuñez de Balboa 86,9003000,62,4090,2017-04-01 00:00:00,2022-06-01 00:00:00,1
CO13,Culminado,Promoción,3810253,4550000,976223,6,0.254,0.609,1.58,0.354,0.2562094957998852,Coruña 13,1601925,29,1965,2018-04-01 00:00:00,2020-09-01 00:00:00,1
GA91,Culminado,Promoción,15234455,17786200,2660070,29,0.108,0.591,1.59,0.085,0.1746088061568333,Galileo 91,4500000,56,2595,2018-10-01 00:00:00,2023-06-01 00:00:00,1
LST5,Culminado,Promoción,7163031,7790000,627214,7,0.057,0.251,1.25,0.054,0.08756265329579056,Lorenzo S Tendero 5-7,2500000,53,1322,2019-04-01 00:00:00,2023-09-01 00:00:00,1
LDH171,Culminado,Promoción,51288221,63836950,13148729,3,0.1404,0.497,1.77,0.095,0.25636937182905994,LDH171-V1,26475000,51,17770,2021-04-01 00:00:00,2025-07-01 00:00:00,1
GA09,Culminado,Promoción,12174001,14152070,1699994,24,0.101,0.472,1.47,0.1234,0.13964135537692168,Galileo 9,3600000,53,2151,2019-07-01 00:00:00,2023-12-01 00:00:00,1
FU27,Culminado,Promoción,9431187,9108460,6032,24,0.001,0.002,1,0.0011,0.0006395801504094871,Calle Fundadores 27,2700000,46,1550,2021-01-02 00:00:00,2024-12-01 00:00:00,1
PA,Culminado,Promoción,10735041,11441358,2283836,173,0.075,0.535,1.54,0.072,0.2127459038116389,Papa Luna ,4265000,82,3537,2019-01-02 00:00:00,2025-12-01 00:00:00,1
FICC I,Culminado,Fondo,10152812,13600000,2277471,34,0.1315,0.3233,1.3233,0.1827,0.22431923293763342,Doctor Cortezo 15,7045000,33,2038,2023-06-01 00:00:00,2026-03-01 00:00:00,1
